Sum of Value,Column Labels,,,,,
Row Labels,Angola,Chad,Mali,Niger,Uganda,Grand Total
1960,7.379,6.25,6.967,7.407,6.999,35.002
1961,7.388,6.268,6.979,7.416,7.019,35.07
1962,7.396,6.285,6.994,7.416,7.04,35.131
1963,7.402,6.301,7.011,7.407,7.06,35.181
1964,7.406,6.318,7.03,7.39,7.078,35.222
1965,7.408,6.337,7.05,7.369,7.094,35.258
1966,7.406,6.362,7.07,7.353,7.106,35.297
1967,7.401,6.393,7.089,7.345,7.113,35.341
1968,7.394,6.432,7.106,7.35,7.117,35.399
1969,7.385,6.477,7.121,7.369,7.118,35.47
1970,7.375,6.528,7.133,7.4,7.115,35.551
1971,7.367,6.582,7.141,7.441,7.111,35.642
1972,7.36,6.636,7.147,7.484,7.107,35.734
1973,7.355,6.688,7.151,7.526,7.103,35.823
1974,7.352,6.736,7.153,7.562,7.1,35.903
1975,7.35,6.78,7.154,7.59,7.099,35.973
1976,7.349,6.82,7.154,7.608,7.099,36.03
1977,7.347,6.857,7.153,7.618,7.099,36.074
1978,7.343,6.892,7.152,7.62,7.099,36.106
1979,7.337,6.925,7.151,7.617,7.1,36.13
1980,7.329,6.958,7.15,7.611,7.1,36.148
1981,7.319,6.99,7.15,7.606,7.101,36.166
1982,7.309,7.023,7.15,7.604,7.101,36.187
1983,7.299,7.056,7.15,7.608,7.102,36.215
1984,7.289,7.089,7.15,7.618,7.103,36.249
1985,7.279,7.124,7.151,7.633,7.103,36.29
1986,7.268,7.161,7.153,7.653,7.103,36.338
1987,7.256,7.199,7.156,7.673,7.102,36.386
1988,7.242,7.238,7.161,7.692,7.1,36.433
1989,7.226,7.276,7.164,7.708,7.097,36.471
1990,7.208,7.313,7.165,7.721,7.091,36.498
1991,7.187,7.346,7.159,7.73,7.082,36.504
1992,7.164,7.376,7.146,7.737,7.071,36.494
1993,7.139,7.399,7.124,7.742,7.057,36.461
1994,7.112,7.416,7.094,7.746,7.039,36.407
1995,7.083,7.425,7.058,7.749,7.018,36.333
1996,7.051,7.426,7.02,7.749,6.994,36.24
1997,7.017,7.419,6.983,7.748,6.967,36.134
1998,6.981,7.405,6.95,7.746,6.937,36.019
1999,6.943,7.384,6.921,7.742,6.903,35.893
2000,6.905,7.354,6.897,7.738,6.865,35.759
2001,6.866,7.315,6.878,7.732,6.822,35.613
2002,6.829,7.268,6.861,7.725,6.772,35.455
2003,6.792,7.212,6.842,7.718,6.716,35.28
2004,6.755,7.147,6.821,7.71,6.653,35.086
2005,6.716,7.074,6.794,7.702,6.583,34.869
2006,6.671,6.992,6.76,7.695,6.507,34.625
2007,6.619,6.901,6.719,7.688,6.424,34.351
2008,6.559,6.804,6.67,7.682,6.337,34.052
2009,6.492,6.701,6.612,7.675,6.247,33.727
2010,6.416,6.594,6.547,7.667,6.154,33.378
2011,6.335,6.485,6.474,7.656,6.059,33.009
2012,6.251,6.374,6.396,7.642,5.964,32.627
2013,6.165,6.264,6.314,7.623,5.869,32.235
Grand Total,383.572,372.375,377.646,410.757,372.919,1917.269
