Sum of Value,Column Labels,,,,,
Row Labels,Angola,Chad,Mali,Niger,Uganda,Grand Total
1960,,104.4372029,,132.4002367,62.33536421,299.1728038
1961,,109.0915357,,139.0486106,63.03563877,311.1757851
1962,,114.540302,,147.8437074,62.03710188,324.4211113
1963,,116.7325801,,158.322902,68.95777879,344.0132609
1964,,120.7733725,,152.897426,76.06944471,349.7402432
1965,,125.9245699,,171.7122534,110.3644674,408.0012907
1966,,128.2901557,,174.1715039,111.5892626,414.0509222
1967,,130.9070451,48.27986653,160.6053689,112.7237116,452.5159921
1968,,129.6797731,59.46753934,150.5757957,116.9159194,456.6390275
1969,,132.119034,57.99181573,143.028176,127.5330805,460.6721062
1970,,128.7457325,60.47566223,144.5108561,133.34233,467.0745809
1971,,134.6432243,71.15468028,150.0228319,145.7961406,501.616877
1972,,153.4019074,79.15746642,156.2741891,149.2713647,538.1049276
1973,,165.5779878,90.10012851,193.634415,165.9283507,615.240882
1974,,163.1123614,84.59762045,204.1355423,199.261376,651.1069001
1975,,211.4531987,128.1510713,202.8012087,217.9311058,760.3365846
1976,,207.5318557,142.3759392,200.0646135,219.6903132,769.6627217
1977,,219.8380797,156.3994804,235.8308003,255.9965907,868.064951
1978,,256.8773518,178.9793167,314.8296789,204.7953042,955.4816515
1979,,227.1465129,229.3335685,363.7573696,175.6513167,995.8887678
1980,,228.9052354,248.189021,420.6704392,99.18986298,996.9545587
1981,,190.1852974,212.7451748,354.1562328,103.4500871,860.5367921
1982,,176.9204718,180.5623382,320.2893092,163.4986964,841.2708156
1983,,172.3408545,172.063174,278.5582634,163.2012564,786.1635483
1984,,185.4868643,160.2763958,219.66614,255.28439,820.7137901
1985,685.9259744,202.8550381,177.7598857,210.6677157,240.5627634,1517.771377
1986,666.868719,203.6224399,232.7601708,270.7885391,259.2382413,1633.27811
1987,649.881309,215.079997,258.9599764,308.7041762,400.1410913,1832.76655
1988,633.9073337,265.4354788,264.84064,306.2612304,401.0981449,1871.542828
1989,926.6006266,248.503808,262.1523171,284.1221367,314.0340383,2035.412927
1990,901.0473674,291.8091874,316.1858565,313.5376232,247.6017114,2070.181746
1991,1056.34834,305.1655083,314.1085157,284.9839054,184.8133287,2145.419598
1992,479.7287223,296.3458445,318.3700932,277.7654527,153.8623001,1526.072413
1993,430.9851557,223.1712788,308.6345745,183.9772967,167.9265898,1314.694895
1994,245.1677407,174.1945723,221.859916,172.9386001,201.6258306,1015.78666
1995,387.9574927,206.5117899,280.7307872,200.8994917,281.9687578,1358.068319
1996,560.6755166,221.9471769,280.8210863,204.888293,287.2701338,1555.602207
1997,554.2522329,206.119566,265.2542972,183.4781735,289.1826002,1498.28687
1998,454.2965495,224.8400976,279.5986937,199.0612129,294.7965827,1452.593136
1999,421.3767773,190.8154106,273.7017727,186.4996546,260.5085667,1332.902182
2000,606.2722922,166.0080155,240.3780565,160.2183423,260.6844737,1433.56118
2001,574.1941611,197.3022751,265.2605844,167.0912301,238.0510659,1441.899317
2002,948.8443996,220.7953519,272.0337397,179.7352705,243.6746249,1865.083387
2003,1067.178916,292.5815828,349.208124,218.047123,241.6948011,2168.710547
2004,1361.744225,454.6552834,399.3849184,234.9104279,292.843015,2743.53787
2005,2063.922202,660.1815568,425.9107028,252.5046155,321.4357614,3723.954839
2006,2825.07349,712.0468098,460.0055723,260.56377,342.837264,4600.526906
2007,3402.14598,801.4016004,519.3143131,295.3931987,409.870326,5428.125418
2008,4462.125351,929.2796449,614.3157548,358.1914055,459.1097759,6823.021932
2009,3565.181589,803.9143523,610.0541523,344.3756411,557.5235956,5881.04933
2010,3928.824514,895.8779959,610.7906021,351.0062183,608.8130239,6395.312354
2011,5053.738649,988.4431598,680.8279075,378.2005466,591.4386238,7692.648887
2012,5531.776299,972.6793451,641.7938201,393.643423,656.3980727,8196.29096
2013,5900.52957,985.0952473,659.5201611,418.492422,674.3416307,8637.979031
2014,,1024.668452,704.50744,427.3732403,714.5673454,2871.116477
Grand Total,50346.57149,17616.01037,13869.34469,13318.12825,14161.76434,109311.8191
