Sum of Value,Column Labels,,,,,
Row Labels,Angola,Chad,Mali,Niger,Uganda,Grand Total
1960,1.80,1.90,1.11,2.80,3.04,10.65368961
1961,1.81,1.94,1.11,2.86,3.17,10.8840191
1962,1.82,1.97,1.10,2.90,3.28,11.07943833
1963,1.81,1.98,1.11,2.92,3.36,11.18124235
1964,1.78,1.96,1.14,2.89,3.40,11.16337657
1965,1.74,1.92,1.17,2.84,3.40,11.07486819
1966,1.69,1.87,1.20,2.78,3.41,10.96824834
1967,1.68,1.84,1.24,2.74,3.41,10.91256802
1968,1.72,1.86,1.30,2.72,3.35,10.94440847
1969,1.82,1.95,1.38,2.72,3.22,11.09439872
1970,1.98,2.08,1.48,2.74,3.04,11.32621379
1971,2.15,2.24,1.59,2.76,2.86,11.59670457
1972,2.30,2.36,1.69,2.77,2.72,11.84038788
1973,2.44,2.39,1.75,2.79,2.65,12.02121759
1974,2.54,2.32,1.78,2.81,2.67,12.11330206
1975,2.62,2.18,1.77,2.83,2.75,12.1520654
1976,2.67,2.04,1.75,2.86,2.85,12.1618709
1977,2.73,1.94,1.74,2.88,2.93,12.21053451
1978,2.84,1.90,1.76,2.88,2.98,12.35104796
1979,3.01,1.94,1.82,2.84,3.00,12.61160615
1980,3.21,2.04,1.90,2.80,2.99,12.94156622
1981,3.42,2.15,2.01,2.76,2.98,13.31595101
1982,3.58,2.25,2.09,2.73,2.98,13.63196182
1983,3.58,2.39,2.09,2.72,3.03,13.80133433
1984,3.41,2.56,1.97,2.73,3.13,13.7879914
1985,3.13,2.74,1.80,2.76,3.25,13.67223695
1986,2.82,2.93,1.59,2.79,3.38,13.50727794
1987,2.58,3.10,1.44,2.83,3.47,13.4257042
1988,2.49,3.21,1.44,2.89,3.51,13.53298769
1989,2.58,3.24,1.61,2.98,3.48,13.89079236
1990,2.80,3.22,1.90,3.09,3.41,14.40693209
1991,3.05,3.19,2.22,3.20,3.33,14.98768937
1992,3.23,3.18,2.49,3.29,3.27,15.47058403
1993,3.30,3.20,2.67,3.38,3.21,15.75955604
1994,3.23,3.25,2.72,3.45,3.15,15.79979843
1995,3.07,3.32,2.70,3.51,3.09,15.69171077
1996,2.89,3.38,2.67,3.57,3.03,15.52670717
1997,2.77,3.42,2.66,3.62,2.99,15.45577237
1998,2.76,3.49,2.69,3.65,2.99,15.56600622
1999,2.88,3.58,2.75,3.66,3.04,15.90831038
2000,3.08,3.67,2.85,3.66,3.13,16.38250686
2001,3.29,3.77,2.94,3.65,3.22,16.86898255
2002,3.45,3.83,3.00,3.66,3.29,17.2400061
2003,3.55,3.83,3.07,3.66,3.34,17.45718475
2004,3.56,3.75,3.14,3.68,3.36,17.48572207
2005,3.51,3.61,3.21,3.70,3.36,17.39011568
2006,3.45,3.47,3.27,3.71,3.36,17.26703158
2007,3.41,3.36,3.32,3.73,3.36,17.1748908
2008,3.37,3.29,3.32,3.77,3.35,17.09735422
2009,3.36,3.27,3.26,3.82,3.34,17.04817334
2010,3.35,3.30,3.17,3.88,3.32,17.01508333
2011,3.35,3.32,3.06,3.94,3.30,16.97027438
2012,3.33,3.33,2.98,3.99,3.27,16.9076547
2013,3.31,3.33,2.93,4.02,3.26,16.84600331
2014,3.27,3.30,2.93,4.03,3.25,16.78776985
Grand Total,154.33,152.87,118.86,175.60,174.70,776.3608328
