"CountryCode","ShortName","IndicatorName","Year","Value"
UGA,Uganda,"Population, total",2014,37782971
UGA,Uganda,"Population, total",2013,36573387
UGA,Uganda,"Population, total",2012,35400620
UGA,Uganda,"Population, total",2011,34260342
UGA,Uganda,"Population, total",2010,33149417
UGA,Uganda,"Population, total",2009,32067125
UGA,Uganda,"Population, total",2008,31014427
UGA,Uganda,"Population, total",2007,29991958
UGA,Uganda,"Population, total",2006,29000925
UGA,Uganda,"Population, total",2005,28042413
UGA,Uganda,"Population, total",2004,27114742
UGA,Uganda,"Population, total",2003,26217760
UGA,Uganda,"Population, total",2002,25355794
UGA,Uganda,"Population, total",2001,24534668
AGO,Angola,"Population, total",2014,24227524
UGA,Uganda,"Population, total",2000,23757636
AGO,Angola,"Population, total",2013,23448202
UGA,Uganda,"Population, total",1999,23026357
AGO,Angola,"Population, total",2012,22685632
UGA,Uganda,"Population, total",1998,22336812
AGO,Angola,"Population, total",2011,21942296
UGA,Uganda,"Population, total",1997,21679497
AGO,Angola,"Population, total",2010,21219954
UGA,Uganda,"Population, total",1996,21041468
AGO,Angola,"Population, total",2009,20520103
UGA,Uganda,"Population, total",1995,20412967
AGO,Angola,"Population, total",2008,19842251
UGA,Uganda,"Population, total",1994,19791266
AGO,Angola,"Population, total",2007,19183907
UGA,Uganda,"Population, total",1993,19177660
NER,Niger,"Population, total",2014,19113728
UGA,Uganda,"Population, total",1992,18571527
AGO,Angola,"Population, total",2006,18541467
NER,Niger,"Population, total",2013,18358863
UGA,Uganda,"Population, total",1991,17973428
AGO,Angola,"Population, total",2005,17912942
NER,Niger,"Population, total",2012,17635782
UGA,Uganda,"Population, total",1990,17384369
AGO,Angola,"Population, total",2004,17295500
MLI,Mali,"Population, total",2014,17086022
NER,Niger,"Population, total",2011,16946485
UGA,Uganda,"Population, total",1989,16802258
AGO,Angola,"Population, total",2003,16691395
MLI,Mali,"Population, total",2013,16592097
NER,Niger,"Population, total",2010,16291990
UGA,Uganda,"Population, total",1988,16227778
MLI,Mali,"Population, total",2012,16112333
AGO,Angola,"Population, total",2002,16109696
NER,Niger,"Population, total",2009,15672194
UGA,Uganda,"Population, total",1987,15668278
MLI,Mali,"Population, total",2011,15639115
AGO,Angola,"Population, total",2001,15562791
MLI,Mali,"Population, total",2010,15167286
UGA,Uganda,"Population, total",1986,15133740
NER,Niger,"Population, total",2008,15085130
AGO,Angola,"Population, total",2000,15058638
MLI,Mali,"Population, total",2009,14694565
UGA,Uganda,"Population, total",1985,14631089
AGO,Angola,"Population, total",1999,14601983
NER,Niger,"Population, total",2007,14527631
MLI,Mali,"Population, total",2008,14223403
AGO,Angola,"Population, total",1998,14187710
UGA,Uganda,"Population, total",1984,14163214
NER,Niger,"Population, total",2006,13995530
AGO,Angola,"Population, total",1997,13801868
MLI,Mali,"Population, total",2007,13759226
UGA,Uganda,"Population, total",1983,13727427
TCD,Chad,"Population, total",2014,13587053
NER,Niger,"Population, total",2005,13485436
AGO,Angola,"Population, total",1996,13424813
UGA,Uganda,"Population, total",1982,13318149
MLI,Mali,"Population, total",2006,13309942
TCD,Chad,"Population, total",2013,13145788
AGO,Angola,"Population, total",1995,13042666
NER,Niger,"Population, total",2004,12996012
UGA,Uganda,"Population, total",1981,12927007
MLI,Mali,"Population, total",2005,12881384
TCD,Chad,"Population, total",2012,12715465
AGO,Angola,"Population, total",1994,12648483
UGA,Uganda,"Population, total",1980,12547754
NER,Niger,"Population, total",2003,12526725
MLI,Mali,"Population, total",2004,12474857
TCD,Chad,"Population, total",2011,12298512
AGO,Angola,"Population, total",1993,12246786
UGA,Uganda,"Population, total",1979,12177677
MLI,Mali,"Population, total",2003,12088867
NER,Niger,"Population, total",2002,12075991
TCD,Chad,"Population, total",2010,11896380
AGO,Angola,"Population, total",1992,11848971
UGA,Uganda,"Population, total",1978,11817951
MLI,Mali,"Population, total",2002,11723017
NER,Niger,"Population, total",2001,11642308
TCD,Chad,"Population, total",2009,11510535
AGO,Angola,"Population, total",1991,11472173
UGA,Uganda,"Population, total",1977,11470741
MLI,Mali,"Population, total",2001,11376094
NER,Niger,"Population, total",2000,11224523
UGA,Uganda,"Population, total",1976,11139772
TCD,Chad,"Population, total",2008,11139740
AGO,Angola,"Population, total",1990,11127870
MLI,Mali,"Population, total",2000,11046926
UGA,Uganda,"Population, total",1975,10827071
NER,Niger,"Population, total",1999,10821434
AGO,Angola,"Population, total",1989,10820992
TCD,Chad,"Population, total",2007,10779504
MLI,Mali,"Population, total",1999,10736542
AGO,Angola,"Population, total",1988,10544904
UGA,Uganda,"Population, total",1974,10533627
MLI,Mali,"Population, total",1998,10444822
NER,Niger,"Population, total",1998,10432657
TCD,Chad,"Population, total",2006,10423616
AGO,Angola,"Population, total",1987,10285712
UGA,Uganda,"Population, total",1973,10256342
MLI,Mali,"Population, total",1997,10168000
TCD,Chad,"Population, total",2005,10067932
NER,Niger,"Population, total",1997,10058960
AGO,Angola,"Population, total",1986,10023700
UGA,Uganda,"Population, total",1972,9988321.0
MLI,Mali,"Population, total",1996,9901045.0
AGO,Angola,"Population, total",1985,9745209.0
UGA,Uganda,"Population, total",1971,9720365.0
TCD,Chad,"Population, total",2004,9710498.0
NER,Niger,"Population, total",1996,9701730.0
MLI,Mali,"Population, total",1995,9640643.0
UGA,Uganda,"Population, total",1970,9446024.0
AGO,Angola,"Population, total",1984,9444918.0
MLI,Mali,"Population, total",1994,9383608.0
NER,Niger,"Population, total",1995,9361912.0
TCD,Chad,"Population, total",2003,9353516.0
UGA,Uganda,"Population, total",1969,9162773.0
MLI,Mali,"Population, total",1993,9131449.0
AGO,Angola,"Population, total",1983,9128655.0
NER,Niger,"Population, total",1994,9039088.0
TCD,Chad,"Population, total",2002,9002102.0
MLI,Mali,"Population, total",1992,8891141.0
UGA,Uganda,"Population, total",1968,8872866.0
AGO,Angola,"Population, total",1982,8807511.0
NER,Niger,"Population, total",1993,8732500.0
MLI,Mali,"Population, total",1991,8672581.0
TCD,Chad,"Population, total",2001,8663599.0
UGA,Uganda,"Population, total",1967,8580632.0
AGO,Angola,"Population, total",1981,8497950.0
MLI,Mali,"Population, total",1990,8482075.0
NER,Niger,"Population, total",1992,8442330.0
TCD,Chad,"Population, total",2000,8343321.0
MLI,Mali,"Population, total",1989,8322726.0
UGA,Uganda,"Population, total",1966,8292747.0
AGO,Angola,"Population, total",1980,8211950.0
MLI,Mali,"Population, total",1988,8189984.0
NER,Niger,"Population, total",1991,8168834.0
MLI,Mali,"Population, total",1987,8073178.0
TCD,Chad,"Population, total",1999,8042713.0
UGA,Uganda,"Population, total",1965,8014376.0
MLI,Mali,"Population, total",1986,7957390.0
AGO,Angola,"Population, total",1979,7952882.0
NER,Niger,"Population, total",1990,7911884.0
MLI,Mali,"Population, total",1985,7831891.0
TCD,Chad,"Population, total",1998,7760157.0
UGA,Uganda,"Population, total",1964,7746181.0
AGO,Angola,"Population, total",1978,7717139.0
MLI,Mali,"Population, total",1984,7692537.0
NER,Niger,"Population, total",1989,7671233.0
MLI,Mali,"Population, total",1983,7542377.0
AGO,Angola,"Population, total",1977,7501320.0
TCD,Chad,"Population, total",1997,7494143.0
UGA,Uganda,"Population, total",1963,7487411.0
NER,Niger,"Population, total",1988,7445788.0
MLI,Mali,"Population, total",1982,7386669.0
AGO,Angola,"Population, total",1976,7299508.0
TCD,Chad,"Population, total",1996,7242018.0
UGA,Uganda,"Population, total",1962,7240155.0
MLI,Mali,"Population, total",1981,7233877.0
NER,Niger,"Population, total",1987,7233482.0
AGO,Angola,"Population, total",1975,7107334.0
MLI,Mali,"Population, total",1980,7090125.0
NER,Niger,"Population, total",1986,7031675.0
UGA,Uganda,"Population, total",1961,7006629.0
TCD,Chad,"Population, total",1995,7001634.0
MLI,Mali,"Population, total",1979,6956779.0
AGO,Angola,"Population, total",1974,6923749.0
NER,Niger,"Population, total",1985,6838170.0
MLI,Mali,"Population, total",1978,6831530.0
UGA,Uganda,"Population, total",1960,6788211.0
TCD,Chad,"Population, total",1994,6773104.0
AGO,Angola,"Population, total",1973,6750215.0
MLI,Mali,"Population, total",1977,6712545.0
NER,Niger,"Population, total",1984,6652110.0
MLI,Mali,"Population, total",1976,6596817.0
AGO,Angola,"Population, total",1972,6587647.0
TCD,Chad,"Population, total",1993,6556628.0
MLI,Mali,"Population, total",1975,6482276.0
NER,Niger,"Population, total",1983,6472971.0
AGO,Angola,"Population, total",1971,6437645.0
MLI,Mali,"Population, total",1974,6368351.0
TCD,Chad,"Population, total",1992,6350174.0
AGO,Angola,"Population, total",1970,6300969.0
NER,Niger,"Population, total",1982,6299343.0
MLI,Mali,"Population, total",1973,6256192.0
AGO,Angola,"Population, total",1969,6177703.0
TCD,Chad,"Population, total",1991,6151213.0
MLI,Mali,"Population, total",1972,6147459.0
NER,Niger,"Population, total",1981,6129762.0
AGO,Angola,"Population, total",1968,6066094.0
MLI,Mali,"Population, total",1971,6044532.0
NER,Niger,"Population, total",1980,5963159.0
AGO,Angola,"Population, total",1967,5962831.0
TCD,Chad,"Population, total",1990,5958022.0
MLI,Mali,"Population, total",1970,5949043.0
AGO,Angola,"Population, total",1966,5863568.0
MLI,Mali,"Population, total",1969,5861411.0
NER,Niger,"Population, total",1979,5798584.0
MLI,Mali,"Population, total",1968,5780834.0
TCD,Chad,"Population, total",1989,5769273.0
AGO,Angola,"Population, total",1965,5765025.0
MLI,Mali,"Population, total",1967,5706198.0
AGO,Angola,"Population, total",1964,5665701.0
NER,Niger,"Population, total",1978,5635954.0
MLI,Mali,"Population, total",1966,5635859.0
TCD,Chad,"Population, total",1988,5585528.0
MLI,Mali,"Population, total",1965,5568485.0
AGO,Angola,"Population, total",1963,5565808.0
MLI,Mali,"Population, total",1964,5503748.0
NER,Niger,"Population, total",1977,5476206.0
AGO,Angola,"Population, total",1962,5465905.0
MLI,Mali,"Population, total",1963,5441611.0
TCD,Chad,"Population, total",1987,5409275.0
MLI,Mali,"Population, total",1962,5381369.0
AGO,Angola,"Population, total",1961,5367287.0
MLI,Mali,"Population, total",1961,5322267.0
NER,Niger,"Population, total",1976,5320869.0
AGO,Angola,"Population, total",1960,5270844.0
MLI,Mali,"Population, total",1960,5263730.0
TCD,Chad,"Population, total",1986,5244158.0
NER,Niger,"Population, total",1975,5171029.0
TCD,Chad,"Population, total",1985,5092650.0
NER,Niger,"Population, total",1974,5026744.0
TCD,Chad,"Population, total",1984,4955088.0
NER,Niger,"Population, total",1973,4887484.0
TCD,Chad,"Population, total",1983,4830055.0
NER,Niger,"Population, total",1972,4753054.0
TCD,Chad,"Population, total",1982,4716073.0
NER,Niger,"Population, total",1971,4623121.0
TCD,Chad,"Population, total",1981,4610964.0
TCD,Chad,"Population, total",1980,4512795.0
NER,Niger,"Population, total",1970,4497355.0
TCD,Chad,"Population, total",1979,4421448.0
NER,Niger,"Population, total",1969,4375837.0
TCD,Chad,"Population, total",1978,4336389.0
NER,Niger,"Population, total",1968,4258415.0
TCD,Chad,"Population, total",1977,4254770.0
TCD,Chad,"Population, total",1976,4173070.0
NER,Niger,"Population, total",1967,4144238.0
TCD,Chad,"Population, total",1975,4088858.0
NER,Niger,"Population, total",1966,4032210.0
TCD,Chad,"Population, total",1974,4000511.0
NER,Niger,"Population, total",1965,3921581.0
TCD,Chad,"Population, total",1973,3908729.0
TCD,Chad,"Population, total",1972,3816299.0
NER,Niger,"Population, total",1964,3811813.0
TCD,Chad,"Population, total",1971,3727382.0
NER,Niger,"Population, total",1963,3703159.0
TCD,Chad,"Population, total",1970,3644911.0
NER,Niger,"Population, total",1962,3596613.0
TCD,Chad,"Population, total",1969,3569778.0
