Sum of Value,Column Labels,,,,,
Row Labels,Bahrain,"Macao SAR, China",Oman,Qatar,United Arab Emirates,Grand Total
1960,162501,171456,551737,47309,92612,1025615
1961,167924,175135,564895,51355,100985,1060294
1962,173107,181025,578825,56187,112240,1101384
1963,178048,188703,593504,61647,125216,1147118
1964,182774,197523,608889,67487,138220,1194893
1965,187348,206910,625007,73543,150318,1243126
1966,191782,216873,642005,79735,161077,1291472
1967,196203,227258,660117,86161,171781,1341520
1968,200953,237129,679593,93043,185312,1396030
1969,206469,245310,700729,100697,205570,1458775
1970,213102,250997,723850,109329,235434,1532712
1971,220808,253881,748971,119246,275160,1618066
1972,229588,254282,776379,130377,324069,1714695
1973,239860,252845,806989,142111,382823,1824628
1974,252139,250550,841947,153593,451948,1950177
1975,266686,248213,882044,164333,531265,2092541
1976,283843,245915,927439,173759,622051,2253007
1977,303236,243729,977806,182370,722849,2429990
1978,323511,242458,1032799,192018,827394,2618180
1979,342829,243073,1091855,205244,927303,2810304
1980,359902,246236,1154375,223715,1016789,3001017
1981,374125,252258,1220548,248053,1093108,3188092
1982,385950,260921,1290007,277242,1158477,3372597
1983,396447,271674,1360921,309276,1218223,3556541
1984,407223,283672,1430926,341286,1280278,3743385
1985,419425,296222,1498416,371071,1350433,3935567
1986,433487,309226,1561493,398326,1430548,4133080
1987,448994,322655,1620573,423327,1518991,4334540
1988,465235,335952,1679089,445203,1613904,4539383
1989,481126,348467,1741965,463062,1712117,4746737
1990,495944,359735,1812159,476478,1811458,4955774
1991,509654,369484,1892345,485114,1913190,5169787
1992,522748,377799,1979914,489668,2019014,5389143
1993,535692,385041,2066264,492120,2127863,5606980
1994,549151,391783,2139539,495179,2238281,5813933
1995,563730,398459,2191864,501019,2350192,6005264
1996,579855,405231,2219768,511864,2467726,6184444
1997,597834,412031,2227596,528213,2595220,6360894
1998,618054,418810,2224922,548618,2733770,6544174
1999,640904,425448,2225481,570643,2884188,6746664
2000,666855,431907,2239403,593453,3050128,6981746
2001,694893,438088,2272547,613720,3217865,7237113
2002,725365,444178,2323203,634388,3394060,7521194
2003,761595,450754,2385075,668165,3625798,7891387
2004,807989,458579,2448194,732096,3975945,8422803
2005,867014,468149,2506891,836924,4481976,9160954
2006,940808,479728,2553376,988448,5171255,10133615
2007,1026568,493022,2593750,1178955,6010100,11302395
2008,1115777,507274,2652281,1388962,6900142,12564436
2009,1196774,521405,2762073,1591151,7705423,13776826
2010,1261319,534626,2943747,1765513,8329453,14834658
2011,1306014,546682,3210003,1905437,8734722,15702858
2012,1333577,557763,3545192,2015624,8952542,16404698
2013,1349427,568056,3906912,2101288,9039978,16965661
2014,1361930,577914,4236057,2172065,9086139,17434105
Grand Total,29724096,18882494,93132249,30075210,134952923,306766972
