Sum of Value,Column Labels,,,,,
Row Labels,Angola,Chad,Mali,Niger,Uganda,Grand Total
1960,4720831,2801572,4681246,3198527,6488376,21890552
1961,4787727,2848287,4717604,3287651,6683133,22324402
1962,4853505,2896330,4753794,3380816,6890745,22775190
1963,4918838,2945057,4790250,3471378,7109671,23235194
1964,4982531,2991969,4827558,3562940,7337725,23702723
1965,5044166,3032605,4866410,3654561,7572864,24170606
1966,5103356,3071022,4906692,3745923,7815334,24642327
1967,5161367,3107586,4948757,3833710,8064593,25116013
1968,5220966,3143839,4993542,3921745,8315384,25595476
1969,5285890,3182029,5042513,4010936,8561512,26082880
1970,5358533,3223268,5096545,4101858,8816541,26596745
1971,5444059,3268429,5156167,4194511,9065504,27128670
1972,5541858,3316364,5220914,4288586,9307917,27675639
1973,5648310,3366119,5289360,4384269,9549988,28238046
1974,5761598,3412276,5359286,4481594,9800171,28814925
1975,5880964,3452386,5429295,4580549,10064845,29408039
1976,6004794,3485765,5498381,4681247,10346843,30017030
1977,6133979,3513887,5565841,4783575,10645192,30642474
1978,6271719,3538493,5633280,4901871,10958077,31303440
1979,6422588,3599412,5704072,5031257,11281887,32039216
1980,6588776,3664976,5779586,5161532,11602406,32797276
1981,6772951,3735711,5861611,5292682,11914305,33577260
1982,6971761,3811577,5948780,5425561,12233119,34390798
1983,7175305,3894135,6036013,5560929,12564714,35231096
1984,7370342,3984981,6116490,5700060,12916143,36088016
1985,7548541,4085375,6186176,5844174,13292052,36956318
1986,7705419,4196218,6242732,5993589,13694370,37832328
1987,7845427,4317305,6291508,6148966,14119939,38723145
1988,7978907,4446415,6348712,6313358,14561672,39649064
1989,8120938,4580687,6416905,6498378,15010297,40627205
1990,8281138,4718098,6503885,6695986,15458876,41657983
1991,8464055,4858043,6612756,6906831,15935601,42777286
1992,8664916,5001715,6740730,7131321,16451030,43989712
1993,8875246,5152985,6882921,7369357,16972421,45252930
1994,9081611,5320951,7031231,7620765,17499239,46553797
1995,9275944,5498173,7180447,7885258,18032203,47872025
1996,9455096,5684550,7329249,8163521,18569937,49202353
1997,9624319,5880054,7480191,8455864,19115029,50555457
1998,9793067,6086214,7630151,8761345,19675828,51946605
1999,9974323,6305165,7768318,9078858,20263885,53390549
2000,10176778,6538077,7914460,9407722,20887238,54924275
2001,10403415,6786197,8068495,9748104,21549535,56555746
2002,10649315,7048466,8228855,10099755,22248949,58275340
2003,10908661,7320529,8396081,10463448,22944997,60033716
2004,11172028,7596717,8570227,10839974,23656257,61835203
2005,11434010,7873022,8751612,11230671,24388206,63677521
2006,11691878,8147724,8940022,11635464,25140032,65555120
2007,11947354,8422242,9134475,12055319,25913052,67472442
2008,12201199,8700026,9330126,12492750,26705903,69430004
2009,12455908,8985814,9522078,12950561,27517121,71431482
2010,12711389,9281199,9707670,13431279,28345403,73476940
2011,12967897,9586936,9885641,13935772,29189811,75566057
2012,13225950,9901660,10057479,14463810,30049816,77698715
2013,13485061,10223874,10226871,15013878,30927553,79877237
2014,13743305,10551569,10398040,15583614,31826108,82102636
Grand Total,453289809,286384075,372002031,400857960,875849349,2388383224
