Sum of Value,Column Labels,,,,,
Row Labels,Angola,Chad,Mali,Niger,Uganda,Grand Total
1960,550013,201024,582484,196685,299835,1830041
1961,579560,213136,604663,205985,323496,1926840
1962,612400,226027,627575,215797,349410,2031209
1963,646970,239718,651361,231781,377740,2147570
1964,683170,255829,676190,248873,408456,2272518
1965,720859,278316,702075,267020,441512,2409782
1966,760212,302541,729167,286287,477413,2555620
1967,801464,328641,757441,310528,516039,2714113
1968,845128,356939,787292,336670,557482,2883511
1969,891813,387749,818898,364901,601261,3064622
1970,942436,421643,852498,395497,629483,3241557
1971,993586,458953,888365,428610,654861,3424375
1972,1045789,499935,926545,464468,680404,3617141
1973,1101905,542610,966832,503215,706354,3820916
1974,1162151,588235,1009065,545150,733456,4038057
1975,1226370,636472,1052981,590480,762226,4268529
1976,1294714,687305,1098436,639622,792929,4513006
1977,1367341,740883,1146704,692631,825549,4773108
1978,1445420,797896,1198250,734083,859874,5035523
1979,1530294,822036,1252707,767327,895790,5268154
1980,1623174,847819,1310539,801627,945348,5528507
1981,1724999,875253,1372266,837080,1012702,5822300
1982,1835750,904496,1437889,873782,1085030,6136947
1983,1953350,935920,1506364,912042,1162713,6470389
1984,2074576,970107,1576047,952050,1247071,6819851
1985,2196668,1007275,1645715,993996,1339037,7182691
1986,2318281,1047940,1714658,1038086,1439370,7558335
1987,2440285,1091970,1781670,1084516,1548339,7946780
1988,2565997,1139113,1841272,1132430,1666106,8344918
1989,2700054,1188586,1905821,1172855,1791961,8759277
1990,2846732,1239924,1978190,1215898,1925493,9206237
1991,3008118,1293170,2059825,1262003,2037827,9660943
1992,3184055,1348459,2150411,1311009,2120497,10114431
1993,3371540,1403643,2248528,1363143,2205239,10592093
1994,3566872,1452153,2352377,1418323,2292027,11081752
1995,3766722,1503461,2460196,1476654,2380764,11587797
1996,3969717,1557468,2571796,1538209,2471531,12108721
1997,4177549,1614089,2687809,1603096,2564468,12647011
1998,4394643,1673943,2814671,1671312,2660984,13215553
1999,4627660,1737548,2968224,1742576,2762472,13838480
2000,4881860,1805244,3132466,1816801,2870398,14506769
2001,5159376,1877402,3307599,1894204,2985133,15223714
2002,5460381,1953636,3494162,1976236,3106845,15991260
2003,5782734,2032987,3692786,2063277,3272763,16844547
2004,6123472,2113781,3904630,2156038,3458485,17756406
2005,6478932,2194910,4129772,2254765,3654207,18712586
2006,6849589,2275892,4369920,2360066,3860893,19716360
2007,7236553,2357262,4624751,2472312,4078906,20769784
2008,7641052,2439714,4893277,2592380,4308524,21874947
2009,8064195,2524721,5172487,2721633,4550004,23033040
2010,8508565,2615181,5459616,2860711,4804014,24248087
2011,8974399,2711576,5753474,3010713,5070531,25520693
2012,9459682,2813805,6054854,3171972,5350804,26851117
2013,9963141,2921914,6365226,3344985,5645834,28241100
2014,10484219,3035484,6687982,3530114,5956863,29694662
Grand Total,188616487,69491734,128756799,71052504,111526753,569444277
