Sum of Value,Column Labels,,,,,
Row Labels,Angola,Chad,Mali,Niger,Uganda,Grand Total
1960,88.47,81.01,75.73,97.21,94.21,436.6240012
1961,90.10,82.25,76.75,98.04,94.97,442.114339
1962,91.72,83.60,77.69,98.81,95.65,447.467074
1963,93.13,84.84,78.45,99.44,96.22,452.0854306
1964,94.00,85.65,78.81,99.71,96.56,454.7297039
1965,94.18,85.86,78.69,99.54,96.62,454.8804414
1966,95.40,86.82,79.99,100.50,97.38,460.0911643
1967,95.84,87.13,80.66,100.74,97.82,462.1862499
1968,95.69,87.00,80.85,100.48,98.00,462.0262969
1969,95.29,86.75,80.82,99.97,98.02,460.8567679
1970,94.87,86.57,80.71,99.36,97.88,459.387403
1971,95.60,87.35,81.99,99.57,98.53,463.0466736
1972,96.01,88.08,82.94,99.71,98.92,465.6629748
1973,96.21,88.76,83.63,99.70,99.11,467.4207196
1974,96.25,89.33,84.11,99.43,99.17,468.2945424
1975,96.17,89.71,84.39,98.84,99.17,468.2798611
1976,97.08,91.09,86.13,98.81,99.67,472.7790813
1977,97.68,92.16,87.47,98.63,100.02,475.9571318
1978,98.04,93.00,88.49,98.36,100.23,478.1213045
1979,98.26,93.73,89.25,98.06,100.29,479.5866008
1980,98.40,94.41,89.80,97.69,100.20,480.49491
1981,99.42,95.82,91.52,98.96,100.73,486.4564668
1982,100.06,96.99,92.89,99.56,100.99,490.4949451
1983,100.42,97.96,93.92,99.73,101.04,493.072964
1984,100.54,98.73,94.62,99.65,101.01,494.5534757
1985,100.38,99.35,94.98,99.41,100.97,495.0870936
1986,101.17,100.57,97.08,99.47,101.74,500.0296885
1987,101.65,101.44,98.74,99.63,102.27,503.7438512
1988,101.81,102.06,100.03,99.85,102.64,506.3964703
1989,101.69,102.49,101.07,100.02,102.87,508.1469886
1990,101.39,102.78,101.92,100.02,102.98,509.0914918
1991,101.92,103.74,102.19,100.62,104.08,512.5377644
1992,102.03,104.43,102.17,100.60,104.96,514.1893361
1993,101.85,104.90,101.92,100.24,105.63,514.539804
1994,101.46,105.18,101.46,99.82,106.08,514.0011646
1995,100.90,105.31,100.80,99.46,106.31,512.7768471
1996,101.36,106.16,100.90,99.82,107.27,515.5047249
1997,101.52,106.67,100.65,100.22,107.89,516.947941
1998,101.44,106.94,100.18,100.70,108.23,517.4868603
1999,101.21,107.04,99.65,101.20,108.39,517.488071
2000,100.93,107.04,99.10,101.64,108.45,517.1636553
2001,101.50,107.64,99.11,103.04,108.63,519.9126395
2002,101.80,107.94,98.96,104.08,108.71,521.4963936
2003,101.91,108.00,98.72,104.92,108.70,522.2607427
2004,101.90,107.81,98.42,105.68,108.57,522.3930747
2005,101.78,107.35,98.10,106.39,108.30,521.9245174
2006,102.29,107.44,98.66,107.55,108.19,524.1336306
2007,102.56,107.21,99.05,108.51,107.87,525.2040679
2008,102.61,106.70,99.29,109.30,107.39,525.298775
2009,102.43,105.95,99.36,109.95,106.83,524.517508
2010,102.04,105.02,99.24,110.45,106.19,522.9314761
2011,102.11,104.54,99.98,111.26,105.68,523.5711687
2012,101.84,103.79,100.36,111.86,105.02,522.8634768
2013,101.32,102.85,100.46,112.31,104.25,521.1807723
2014,100.64,101.80,100.39,112.68,103.35,518.8619235
Grand Total,5448.28,5384.74,5093.23,5601.23,5640.87,27168.35244
